,,,,,,,,,,,,,,,,,spch snapshot images,,,,,,,,,,,,,,
Age (HAS),DAS,DAS-1,WT Leaf Length (mm),WT Leaf Width (mm),Ln Leaf Width (WT),WT Logistic width,Ln Logistoc width,WT Logistic Length,,Age (HAS),fama Leaf Width (mm),Ln fama leaf width ,Aw,kw,PSTmw,y0w,Age (HAS),Leaf Width (mm),Ln Leaf Width (spch),Blade Length,Blade + Petiole length,Series Name,Date Moved to CER,Time moved to CER,Date Imaged,Time imaged,age at imaging (DAS),DAS-1,Age (HAS),3002_PA Leaf Width,elapsed time (h)
217.48,9.061805556,8.061805556,1.67,1.41,0.34,0.873005283,-0.135813671,1.190683337,,,,,,,,,241.03,0.35,-1.04,0.37,-,TL19,23/05/2013,18:00:00,01/06/2013,12:30:00,9,8,211.25,0.801,
218.67,9.111111111,8.111111111,1.38,1.17,0.16,0.890808733,-0.11562554,1.216805204,,,,,,,,,242.22,0.20,-1.60,0.28,0.31,TL20,23/05/2013,18:00:00,01/06/2013,13:15:00,9,8,211.25,0.818,0.552
219.82,9.159027778,8.159027778,1.16,1.08,0.07,0.908396859,-0.096073927,1.242658119,,,,,,,,,242.77,0.15,-1.92,0.19,0.21,,,,,,,,,,
220.18,9.174305556,8.174305556,1.20,0.99,-0.01,0.914064339,-0.089854317,1.250998642,,,,,,,,,243.00,0.21,-1.56,0.26,0.29,,,,,,,,,,
221.05,9.210416667,8.210416667,0.96,0.77,-0.27,0.927575496,-0.075181091,1.270901477,,,,,,,,,243.15,0.22,-1.51,0.28,0.31,,,,,,,,,,
221.30,9.220833333,8.220833333,1.36,0.98,-0.02,0.931503151,-0.070955706,1.276692225,,,,,,,,,243.37,0.16,-1.85,0.20,0.24,,,,,,,,,,
221.43,9.226388889,8.226388889,1.11,0.86,-0.15,0.933603446,-0.068703507,1.279789728,,,,,,,,,243.50,0.14,-1.94,0.17,0.19,,,,,,,,,,
240,10,9,1.47,1.25,0.22,1.264909761,0.235000784,1.775954833,,,,,,,,,262.78,0.32,-1.13,0.40,0.44,,,,,,,,,,
240,10,9,1.60,1.23,0.21,1.264909761,0.235000784,1.775954833,,,,,,,,,262.93,0.28,-1.28,0.34,0.39,,,,,,,,,,
240,10,9,2.62,2.10,0.74,1.264909761,0.235000784,1.775954833,,,,,,,,,263.17,0.27,-1.31,0.34,0.42,,,,,,,,,,
247.32,10.30486111,9.304861111,1.87,1.82,0.60,1.41715714,0.348652851,2.008548894,,,,,,,,,263.40,0.28,-1.28,0.35,0.39,,,,,,,,,,
247.43,10.30972222,9.309722222,2.25,1.92,0.65,1.419684375,0.350434576,2.012432165,,,,,,,,,263.47,0.30,-1.21,0.37,0.41,,,,,,,,,,
247.58,10.31597222,9.315972222,2.55,1.98,0.68,1.422938245,0.352723921,2.017433006,,,,,,,,,263.57,0.26,-1.33,0.34,0.42,,,,,,,,,,
265.80,11.075,10.075,1.70,1.34,0.29,1.855023186,0.617897195,2.691255362,,,,,,,,,263.73,0.15,-1.88,0.23,0.27,,,,,,,,,,
